Lemma/_writtenForm,Sense/Confidence/_level,Sense/MonolingualExternalRef,Sense/Sentiment/_polarity,Sense/Sentiment/_strength,Sense/Domain,_id,_partOfSpeech
honest,manual,,positive,strong,,,adj
honest,manual,,positive,average,,,noun
honestly,manual,,positive,strong,,,other
honesty,manual,,positive,strong,,,adj
honesty,manual,,positive,strong,,,noun
honeymoon,manual,,positive,average,,,noun
honor,manual,,positive,average,,,adj
honor,manual,,positive,average,,,noun
honor,manual,,positive,strong,,,verb
honorable,manual,,positive,strong,,,other
hoodwink,manual,,negative,strong,,,verb
hope,manual,,positive,strong,,,adj
hope,manual,,positive,strong,,,noun
hope,manual,,positive,strong,,,verb
hopeful,manual,,positive,strong,,,other
hopefully,manual,,positive,strong,,,other
hopefulness,manual,,positive,strong,,,noun
hopeless,manual,,negative,strong,,,adj
hopelessly,manual,,negative,strong,,,other
hopelessness,manual,,negative,strong,,,noun
hopes,manual,,positive,strong,,,adj
hopes,manual,,positive,strong,,,noun
horde,manual,,negative,average,,,noun
horrendous,manual,,negative,strong,,,adj
horrendously,manual,,negative,strong,,,other
horrible,manual,,negative,strong,,,adj
horrible,manual,,negative,strong,,,other
horribly,manual,,negative,strong,,,other
horrid,manual,,negative,strong,,,adj
horrific,manual,,negative,strong,,,adj
horrifically,manual,,negative,strong,,,other
horrify,manual,,negative,strong,,,adj
horrify,manual,,negative,strong,,,verb
horrifying,manual,,negative,strong,,,other
horrifyingly,manual,,negative,strong,,,other
horror,manual,,negative,strong,,,noun
horrors,manual,,negative,strong,,,noun
hospitable,manual,,positive,strong,,,adj
hostage,manual,,negative,average,,,noun
hostile,manual,,negative,average,,,adj
hostile,manual,,negative,average,,,noun
hostilities,manual,,negative,average,,,adj
hostilities,manual,,negative,average,,,noun
hostility,manual,,negative,strong,,,adj
hostility,manual,,negative,strong,,,noun
hot,manual,,positive,average,,,adj
hothead,manual,,negative,strong,,,noun
hotheaded,manual,,negative,strong,,,adj
hotbeds,manual,,negative,strong,,,adj
hotbeds,manual,,negative,strong,,,noun
hothouse,manual,,negative,average,,,adj
hothouse,manual,,negative,average,,,noun
however,manual,,neutral,average,,,other
hubris,manual,,negative,strong,,,noun
huckster,manual,,negative,strong,,,noun
hug,manual,,positive,strong,,,adj
hug,manual,,positive,strong,,,noun
huge,manual,,neutral,average,,,adj
humane,manual,,positive,strong,,,adj
humane,manual,,positive,strong,,,noun
humanists,manual,,positive,average,,,adj
humanists,manual,,positive,average,,,noun
humanity,manual,,positive,average,,,noun
humankind,manual,,positive,strong,,,noun
humble,manual,,positive,strong,,,verb
humbling,manual,,negative,strong,,,other
humiliate,manual,,negative,strong,,,verb
humiliating,manual,,negative,strong,,,adj
humiliation,manual,,negative,strong,,,noun
humility,manual,,positive,strong,,,noun
humor,manual,,positive,strong,,,verb
humorous,manual,,positive,strong,,,other
humorously,manual,,positive,strong,,,other
humour,manual,,positive,strong,,,adj
humour,manual,,positive,strong,,,noun
humourous,manual,,positive,strong,,,other
hunger,manual,,negative,strong,,,verb
hungry,manual,,negative,average,,,adj
hurt,manual,,negative,average,,,adj
hurt,manual,,negative,average,,,verb
hurtful,manual,,negative,average,,,adj
hustler,manual,,negative,average,,,noun
hypnotize,manual,,neutral,average,,,verb
hypocrisy,manual,,negative,strong,,,noun
hypocrite,manual,,negative,strong,,,noun
hypocrites,manual,,negative,strong,,,noun
hypocritical,manual,,negative,strong,,,adj
hypocritically,manual,,negative,strong,,,noun
hysteria,manual,,negative,strong,,,noun
hysteric,manual,,negative,strong,,,adj
hysterical,manual,,negative,strong,,,other
hysterically,manual,,negative,strong,,,other
hysterics,manual,,negative,strong,,,noun
icy,manual,,negative,average,,,adj
idea,manual,,neutral,average,,,adj
idea,manual,,neutral,average,,,noun
ideal,manual,,positive,strong,,,adj
ideal,manual,,positive,strong,,,noun
idealism,manual,,positive,average,,,noun
idealist,manual,,positive,average,,,noun
idealize,manual,,positive,strong,,,verb
ideally,manual,,positive,strong,,,other
idiocies,manual,,negative,strong,,,other
idiocy,manual,,negative,strong,,,other
idiot,manual,,negative,strong,,,other
idiotic,manual,,negative,strong,,,other
idiotically,manual,,negative,strong,,,other
idiots,manual,,negative,strong,,,other
idle,manual,,negative,average,,,adj
idol,manual,,positive,strong,,,adj
idol,manual,,positive,strong,,,noun
idolize,manual,,positive,strong,,,verb
idolized,manual,,positive,strong,,,adj
idyllic,manual,,positive,strong,,,other
ignite,manual,,neutral,average,,,verb
ignoble,manual,,negative,strong,,,adj
ignominious,manual,,negative,strong,,,adj
ignominiously,manual,,negative,strong,,,other
ignominy,manual,,negative,strong,,,noun
ignore,manual,,negative,average,,,verb
ignorance,manual,,negative,strong,,,adj
ignorance,manual,,negative,strong,,,noun
ignorant,manual,,negative,strong,,,adj
ignorant,manual,,negative,strong,,,noun
ill,manual,,negative,average,,,adj
ill,manual,,negative,average,,,noun
ill-advised,manual,,negative,strong,,,adj
ill-conceived,manual,,negative,strong,,,adj
ill-fated,manual,,negative,strong,,,adj
ill-favored,manual,,negative,strong,,,adj
ill-mannered,manual,,negative,strong,,,adj
ill-natured,manual,,negative,strong,,,adj
ill-sorted,manual,,negative,strong,,,adj
ill-tempered,manual,,negative,strong,,,adj
ill-treated,manual,,negative,strong,,,adj
ill-treatment,manual,,negative,strong,,,adj
ill-treatment,manual,,negative,strong,,,noun
ill-usage,manual,,negative,strong,,,noun
ill-used,manual,,negative,strong,,,adj
illegal,manual,,negative,average,,,adj
illegally,manual,,negative,average,,,other
illegitimate,manual,,negative,average,,,adj
illicit,manual,,negative,average,,,adj
illiquid,manual,,negative,average,,,adj
illiterate,manual,,negative,average,,,adj
illness,manual,,negative,average,,,noun
illogic,manual,,negative,strong,,,noun
illogical,manual,,negative,strong,,,adj
illogically,manual,,negative,strong,,,other
illuminate,manual,,positive,strong,,,verb
illuminati,manual,,positive,strong,,,adj
illuminati,manual,,positive,strong,,,noun
illuminating,manual,,positive,strong,,,other
illumine,manual,,positive,strong,,,verb
illusion,manual,,negative,strong,,,adj
illusion,manual,,negative,strong,,,noun
illusions,manual,,negative,strong,,,adj
illusions,manual,,negative,strong,,,noun
illusory,manual,,negative,strong,,,adj
illustrious,manual,,positive,strong,,,adj
imaginary,manual,,negative,strong,,,adj
imagination,manual,,neutral,strong,,,adj
imagination,manual,,neutral,strong,,,noun
imaginative,manual,,positive,strong,,,adj
imagine,manual,,neutral,strong,,,verb
imbalance,manual,,negative,strong,,,adj
imbalance,manual,,negative,strong,,,noun
imbecile,manual,,negative,strong,,,other
imbroglio,manual,,negative,strong,,,noun
immaculate,manual,,positive,strong,,,adj
immaculately,manual,,positive,strong,,,other
immaterial,manual,,negative,strong,,,adj
immature,manual,,negative,average,,,adj
immediate,manual,,neutral,average,,,adj
immediately,manual,,neutral,strong,,,other
immense,manual,,neutral,average,,,adj
immensely,manual,,neutral,strong,,,other
immensity,manual,,neutral,strong,,,noun
immensurable,manual,,neutral,strong,,,noun
imminence,manual,,negative,strong,,,noun
imminent,manual,,negative,strong,,,adj
imminently,manual,,negative,strong,,,other
immobilized,manual,,negative,average,,,other
immoderate,manual,,negative,strong,,,adj
immoderately,manual,,negative,strong,,,other
immodest,manual,,negative,strong,,,adj
immoral,manual,,negative,strong,,,adj
immorality,manual,,negative,strong,,,noun
immorally,manual,,negative,strong,,,other
immovable,manual,,negative,strong,,,adj
immune,manual,,neutral,average,,,adj
impair,manual,,negative,strong,,,verb
impaired,manual,,negative,strong,,,adj
impartial,manual,,positive,average,,,adj
impartiality,manual,,positive,average,,,noun
impartially,manual,,positive,average,,,other
impasse,manual,,negative,strong,,,noun
impassioned,manual,,positive,strong,,,adj
impassive,manual,,negative,average,,,adj
impatience,manual,,negative,strong,,,noun
impatient,manual,,negative,strong,,,adj
impatiently,manual,,negative,strong,,,other
impeach,manual,,negative,strong,,,verb
impeccable,manual,,positive,strong,,,adj
impeccably,manual,,positive,strong,,,other
impede,manual,,negative,strong,,,verb
impedance,manual,,negative,strong,,,noun
impediment,manual,,negative,strong,,,noun
impel,manual,,positive,strong,,,verb
impending,manual,,negative,strong,,,adj
impending,manual,,negative,strong,,,noun
impenitent,manual,,negative,strong,,,adj
imperative,manual,,neutral,strong,,,adj
imperatively,manual,,neutral,strong,,,other
imperfect,manual,,negative,average,,,adj
imperfectly,manual,,negative,average,,,other
imperial,manual,,positive,average,,,adj
imperialist,manual,,negative,strong,,,noun
imperil,manual,,negative,strong,,,verb
imperious,manual,,negative,strong,,,adj
imperiously,manual,,negative,strong,,,other
impermissible,manual,,negative,average,,,adj
impersonal,manual,,negative,average,,,adj
impertinent,manual,,negative,strong,,,adj
imperturbable,manual,,positive,strong,,,adj
impervious,manual,,positive,strong,,,adj
impetuous,manual,,negative,strong,,,adj
impetuously,manual,,negative,strong,,,other
impetus,manual,,positive,average,,,noun
impiety,manual,,negative,strong,,,noun
impinge,manual,,negative,strong,,,verb
impious,manual,,negative,strong,,,adj
implacable,manual,,negative,strong,,,adj
implausible,manual,,negative,strong,,,adj
implausibly,manual,,negative,strong,,,other
implicate,manual,,negative,average,,,verb
implication,manual,,negative,average,,,adj
implication,manual,,negative,average,,,noun
implicit,manual,,neutral,average,,,adj
implode,manual,,negative,strong,,,verb
implore,manual,,both,strong,,,verb
imploring,manual,,both,strong,,,adj
imploringly,manual,,both,strong,,,other
imply,manual,,neutral,strong,,,verb
impolite,manual,,negative,strong,,,adj
impolitely,manual,,negative,strong,,,other
impolitic,manual,,negative,strong,,,adj
importance,manual,,positive,average,,,noun
important,manual,,positive,average,,,adj
importantly,manual,,positive,average,,,other
importunate,manual,,negative,strong,,,adj
importune,manual,,negative,strong,,,verb
impose,manual,,negative,strong,,,verb
imposers,manual,,negative,strong,,,adj
imposers,manual,,negative,strong,,,noun
imposing,manual,,negative,average,,,adj
imposing,manual,,negative,average,,,noun
imposition,manual,,negative,strong,,,adj
imposition,manual,,negative,strong,,,noun
impossible,manual,,negative,average,,,adj
impossiblity,manual,,negative,average,,,noun
impossibly,manual,,negative,average,,,other
impotent,manual,,negative,strong,,,adj
impotent,manual,,negative,strong,,,noun
impoverish,manual,,negative,average,,,verb
impoverished,manual,,negative,average,,,adj
impractical,manual,,negative,strong,,,adj
impractical,manual,,negative,strong,,,noun
imprecate,manual,,negative,strong,,,verb
imprecise,manual,,negative,average,,,adj
imprecisely,manual,,negative,average,,,other
imprecision,manual,,negative,average,,,adj
impregnable,manual,,positive,strong,,,adj
impress,manual,,positive,average,,,verb
impression,manual,,positive,average,,,adj
impression,manual,,positive,average,,,noun
impressions,manual,,positive,average,,,adj
impressions,manual,,positive,average,,,noun
impressive,manual,,positive,strong,,,adj
impressively,manual,,positive,strong,,,other
impressiveness,manual,,positive,strong,,,noun
imprison,manual,,negative,average,,,verb
imprisonment,manual,,negative,average,,,noun
improbability,manual,,negative,strong,,,noun
improbable,manual,,negative,strong,,,adj
improbably,manual,,negative,strong,,,other
improper,manual,,negative,strong,,,adj
improperly,manual,,negative,strong,,,other
impropriety,manual,,negative,strong,,,noun
improving,manual,,positive,average,,,adj
improve,manual,,positive,average,,,verb
improved,manual,,positive,average,,,adj
improvement,manual,,positive,average,,,noun
improvise,manual,,positive,strong,,,verb
imprudence,manual,,negative,strong,,,noun
imprudent,manual,,negative,strong,,,adj
impudence,manual,,negative,strong,,,noun
impudent,manual,,negative,strong,,,adj
impudently,manual,,negative,strong,,,other
impugn,manual,,negative,strong,,,verb
impulsive,manual,,negative,strong,,,adj
impulsively,manual,,negative,strong,,,other
impunity,manual,,negative,average,,,adj
impunity,manual,,negative,average,,,noun
impure,manual,,negative,strong,,,adj
impurity,manual,,negative,strong,,,noun
inability,manual,,negative,average,,,adj
inability,manual,,negative,average,,,noun
inaccessible,manual,,negative,average,,,adj
inaccuracy,manual,,negative,average,,,noun
inaccuracies,manual,,negative,average,,,noun
inaccurate,manual,,negative,strong,,,adj
inaccurately,manual,,negative,strong,,,other
inaction,manual,,negative,average,,,noun
inactive,manual,,negative,average,,,adj
inadequacy,manual,,negative,average,,,noun
inadequate,manual,,negative,average,,,adj
inadequately,manual,,negative,average,,,other
inadverent,manual,,negative,average,,,adj
inadverently,manual,,negative,average,,,other
inadvisable,manual,,negative,average,,,adj
inadvisably,manual,,negative,average,,,other
inalienable,manual,,positive,average,,,adj
inane,manual,,negative,strong,,,adj
inanely,manual,,negative,strong,,,other
inappropriate,manual,,negative,strong,,,adj
inappropriately,manual,,negative,strong,,,other
inapt,manual,,negative,strong,,,adj
inaptitude,manual,,negative,strong,,,noun
inarguable,manual,,neutral,strong,,,adj
inarguably,manual,,neutral,strong,,,other
inarticulate,manual,,negative,strong,,,adj
inattentive,manual,,negative,strong,,,adj
incapable,manual,,negative,strong,,,adj
incapably,manual,,negative,strong,,,other
incautious,manual,,negative,strong,,,adj
incendiary,manual,,negative,strong,,,other
incense,manual,,negative,average,,,verb
incessant,manual,,negative,strong,,,adj
incessantly,manual,,negative,strong,,,other
incisive,manual,,positive,strong,,,adj
incisively,manual,,positive,strong,,,other
incisiveness,manual,,positive,strong,,,noun
incite,manual,,negative,average,,,verb
incitement,manual,,negative,average,,,adj
incitement,manual,,negative,average,,,noun
incivility,manual,,negative,strong,,,noun
inclement,manual,,negative,average,,,adj
inclination,manual,,positive,strong,,,adj
inclination,manual,,positive,strong,,,noun
inclinations,manual,,positive,strong,,,other
inclined,manual,,positive,strong,,,adj
inclusive,manual,,positive,average,,,adj
incognizant,manual,,negative,strong,,,adj
incoherence,manual,,negative,strong,,,noun
incoherent,manual,,negative,strong,,,adj
incoherently,manual,,negative,strong,,,adj
incommensurate,manual,,negative,strong,,,adj
incomparable,manual,,negative,average,,,adj
incomparably,manual,,negative,average,,,other
incompatibility,manual,,negative,average,,,noun
incompatible,manual,,negative,average,,,adj
incompatible,manual,,negative,average,,,noun
incompetence,manual,,negative,strong,,,noun
incompetent,manual,,negative,strong,,,adj
incompetently,manual,,negative,strong,,,other
incomplete,manual,,negative,average,,,adj
incompliant,manual,,negative,average,,,adj
incomprehensible,manual,,negative,strong,,,adj
incomprehension,manual,,negative,strong,,,noun
inconceivable,manual,,negative,strong,,,adj
inconceivably,manual,,negative,strong,,,other
inconclusive,manual,,negative,average,,,adj
incongruous,manual,,negative,strong,,,adj
incongruously,manual,,negative,strong,,,other
inconsequent,manual,,negative,strong,,,adj
inconsequently,manual,,negative,strong,,,other
inconsequential,manual,,negative,strong,,,adj
inconsequentially,manual,,negative,strong,,,other
inconsiderate,manual,,negative,strong,,,adj
inconsiderately,manual,,negative,strong,,,other
inconsistence,manual,,negative,strong,,,noun
inconsistencies,manual,,negative,strong,,,adj
inconsistencies,manual,,negative,strong,,,noun
inconsistency,manual,,negative,average,,,noun
inconsistent,manual,,negative,average,,,adj
inconsolable,manual,,negative,strong,,,adj
inconsolably,manual,,negative,strong,,,other
inconstant,manual,,negative,strong,,,adj
incontestable,manual,,positive,strong,,,adj
incontrovertible,manual,,positive,strong,,,adj
inconvenience,manual,,negative,strong,,,adj
inconvenience,manual,,negative,strong,,,noun
inconvenient,manual,,negative,strong,,,other
inconveniently,manual,,negative,strong,,,other
incorrect,manual,,negative,average,,,other
incorrectly,manual,,negative,strong,,,other
incorrigible,manual,,negative,strong,,,adj
incorrigibly,manual,,negative,strong,,,other
incorruptible,manual,,positive,strong,,,adj
increasing,manual,,neutral,average,,,adj
increasingly,manual,,neutral,average,,,other
incredible,manual,,positive,strong,,,other
incredibly,manual,,positive,strong,,,other
incredulous,manual,,negative,strong,,,adj
incredulously,manual,,negative,strong,,,other
inculcate,manual,,negative,strong,,,verb
indebted,manual,,positive,average,,,adj
indecency,manual,,negative,strong,,,noun
indecent,manual,,negative,strong,,,adj
indecently,manual,,negative,strong,,,other
indecision,manual,,negative,strong,,,noun
indecisive,manual,,negative,strong,,,adj
indecisively,manual,,negative,strong,,,other
indecorum,manual,,negative,strong,,,noun
indeed,manual,,neutral,strong,,,other
indefatigable,manual,,positive,strong,,,adj
indefensible,manual,,negative,strong,,,adj
indefensible,manual,,negative,strong,,,noun
indefinite,manual,,negative,average,,,adj
indefinitely,manual,,negative,average,,,other
indelible,manual,,positive,strong,,,adj
indelibly,manual,,positive,strong,,,adj
indelicate,manual,,negative,strong,,,adj
independence,manual,,positive,average,,,adj
independence,manual,,positive,average,,,noun
independent,manual,,positive,average,,,adj
indescribable,manual,,positive,strong,,,adj
indescribably,manual,,positive,strong,,,other
indestructible,manual,,positive,strong,,,adj
indeterminable,manual,,negative,average,,,adj
indeterminably,manual,,negative,average,,,other
indeterminate,manual,,negative,average,,,adj
indication,manual,,neutral,average,,,adj
indication,manual,,neutral,average,,,noun
indicative,manual,,neutral,strong,,,adj
indicative,manual,,neutral,strong,,,noun
indifference,manual,,negative,strong,,,noun
indifferent,manual,,negative,strong,,,adj
indigent,manual,,negative,average,,,adj
indignant,manual,,negative,strong,,,adj
indignantly,manual,,negative,strong,,,other
indignation,manual,,negative,strong,,,noun
indignity,manual,,negative,strong,,,adj
indignity,manual,,negative,strong,,,noun
indirect,manual,,neutral,average,,,adj
indiscernible,manual,,negative,average,,,adj
indiscreet,manual,,negative,strong,,,adj
indiscreet,manual,,negative,strong,,,noun
indiscreetly,manual,,negative,strong,,,other
indiscretion,manual,,negative,strong,,,other
indiscriminate,manual,,negative,strong,,,adj
indiscriminating,manual,,negative,strong,,,adj
indiscriminately,manual,,negative,strong,,,other
indispensable,manual,,positive,strong,,,adj
indispensability,manual,,positive,strong,,,noun
indisposed,manual,,negative,strong,,,adj
indisputable,manual,,positive,strong,,,adj
indistinct,manual,,negative,average,,,adj
indistinctive,manual,,negative,average,,,adj
individuality,manual,,positive,average,,,noun
indoctrinate,manual,,negative,strong,,,other
indoctrination,manual,,negative,strong,,,adj
indoctrination,manual,,negative,strong,,,noun
indolent,manual,,negative,strong,,,adj
indomitable,manual,,positive,strong,,,adj
indomitably,manual,,positive,strong,,,adj
indubitable,manual,,positive,strong,,,other
indubitably,manual,,positive,strong,,,other
indulge,manual,,negative,strong,,,verb
indulgence,manual,,positive,strong,,,noun
indulgent,manual,,positive,strong,,,adj
industrious,manual,,positive,average,,,adj
ineffective,manual,,negative,average,,,adj
ineffectively,manual,,negative,average,,,other
ineffectiveness,manual,,negative,average,,,noun
ineffectual,manual,,negative,average,,,adj
ineffectually,manual,,negative,average,,,other
ineffectualness,manual,,negative,average,,,noun
inefficacious,manual,,negative,strong,,,adj
inefficacious,manual,,negative,strong,,,noun
inefficacy,manual,,negative,strong,,,noun
inefficiency,manual,,negative,average,,,noun
inefficient,manual,,negative,average,,,adj
inefficiently,manual,,negative,average,,,other
ineligible,manual,,negative,average,,,adj
inelegance,manual,,negative,strong,,,noun
inelegant,manual,,negative,strong,,,adj
ineloquent,manual,,negative,strong,,,adj
ineloquently,manual,,negative,strong,,,other
inept,manual,,negative,strong,,,adj
ineptitude,manual,,negative,strong,,,other
ineptitude,manual,,negative,strong,,,noun
ineptly,manual,,negative,strong,,,other
inequalities,manual,,negative,average,,,adj
inequalities,manual,,negative,average,,,noun
inequality,manual,,negative,strong,,,adj
inequality,manual,,negative,strong,,,noun
inequitable,manual,,negative,strong,,,adj
inequitably,manual,,negative,strong,,,other
inequities,manual,,negative,strong,,,adj
inequities,manual,,negative,strong,,,noun
inertia,manual,,negative,average,,,adj
inertia,manual,,negative,average,,,noun
inescapable,manual,,negative,strong,,,adj
inescapably,manual,,negative,strong,,,adj
inessential,manual,,negative,strong,,,adj
inestimable,manual,,positive,strong,,,adj
inestimably,manual,,positive,strong,,,other
inevitable,manual,,negative,strong,,,adj
inevitable,manual,,negative,strong,,,noun
inevitably,manual,,negative,strong,,,other
inexact,manual,,negative,average,,,adj
inexcusable,manual,,negative,strong,,,adj
inexcusably,manual,,negative,strong,,,other
inexorable,manual,,negative,strong,,,adj
inexorably,manual,,negative,strong,,,other
inexpensive,manual,,positive,average,,,adj
inexperience,manual,,negative,average,,,noun
inexperienced,manual,,negative,average,,,adj
inexpert,manual,,negative,average,,,adj
inexpertly,manual,,negative,average,,,other
inexpiable,manual,,negative,strong,,,adj
inexplainable,manual,,negative,strong,,,adj
inexplicable,manual,,negative,strong,,,adj
inextricable,manual,,negative,strong,,,adj
inextricably,manual,,negative,strong,,,other
infallible,manual,,positive,strong,,,adj
infallibly,manual,,positive,strong,,,other
infallibility,manual,,positive,strong,,,noun
infamous,manual,,negative,strong,,,adj
infamously,manual,,negative,strong,,,other
infamy,manual,,negative,strong,,,noun
infatuated,manual,,both,strong,,,other
infected,manual,,negative,average,,,other
infectious,manual,,neutral,average,,,adj
infer,manual,,neutral,strong,,,verb
inference,manual,,neutral,average,,,adj
inference,manual,,neutral,average,,,noun
inferior,manual,,negative,strong,,,adj
inferiority,manual,,negative,strong,,,noun
infernal,manual,,negative,strong,,,adj
infest,manual,,negative,average,,,verb
infested,manual,,negative,average,,,adj
infidel,manual,,negative,strong,,,noun
infidels,manual,,negative,strong,,,noun
infiltrator,manual,,negative,average,,,noun
infiltrators,manual,,negative,average,,,adj
infiltrators,manual,,negative,average,,,noun
infirm,manual,,negative,strong,,,adj
inflame,manual,,negative,strong,,,verb
inflammatory,manual,,negative,strong,,,adj
inflated,manual,,negative,average,,,adj
inflationary,manual,,negative,average,,,adj
inflexible,manual,,negative,strong,,,adj
inflict,manual,,negative,strong,,,verb
influence,manual,,neutral,average,,,adj
influence,manual,,neutral,average,,,noun
influential,manual,,positive,average,,,adj
informational,manual,,neutral,average,,,adj
informative,manual,,positive,average,,,adj
infraction,manual,,negative,average,,,noun
infringe,manual,,negative,strong,,,verb
infringement,manual,,negative,strong,,,noun
infringements,manual,,negative,strong,,,adj
infringements,manual,,negative,strong,,,noun
infuriate,manual,,negative,strong,,,verb
infuriated,manual,,negative,strong,,,adj
infuriating,manual,,negative,strong,,,other
infuriatingly,manual,,negative,strong,,,other
ingenious,manual,,positive,strong,,,adj
ingeniously,manual,,positive,strong,,,other
ingenuity,manual,,positive,strong,,,noun
ingenuous,manual,,positive,strong,,,adj
ingenuously,manual,,positive,strong,,,other
inglorious,manual,,negative,strong,,,adj
ingrate,manual,,negative,strong,,,noun
ingratiate,manual,,positive,strong,,,verb
ingratiating,manual,,positive,strong,,,adj
ingratiatingly,manual,,positive,strong,,,other
ingratitude,manual,,negative,strong,,,noun
inherent,manual,,neutral,strong,,,adj
inherent,manual,,neutral,strong,,,noun
inhibit,manual,,negative,average,,,verb
inhibition,manual,,negative,average,,,noun
inhospitable,manual,,negative,strong,,,adj
inhospitality,manual,,negative,strong,,,noun
inhuman,manual,,negative,strong,,,adj
inhumane,manual,,negative,strong,,,adj
inhumanity,manual,,negative,strong,,,noun
inimical,manual,,negative,strong,,,adj
inimically,manual,,negative,strong,,,other
iniquitous,manual,,negative,strong,,,adj
iniquity,manual,,negative,strong,,,noun
injudicious,manual,,negative,strong,,,adj
injure,manual,,negative,average,,,verb
injurious,manual,,negative,average,,,adj
injury,manual,,negative,average,,,noun
injustice,manual,,negative,strong,,,adj
injustice,manual,,negative,strong,,,noun
injustices,manual,,negative,strong,,,adj
injustices,manual,,negative,strong,,,noun
inkling,manual,,neutral,strong,,,other
inklings,manual,,neutral,strong,,,adj
inklings,manual,,neutral,strong,,,noun
innocence,manual,,positive,average,,,adj
innocence,manual,,positive,average,,,noun
innocent,manual,,positive,average,,,adj
innocently,manual,,positive,average,,,adj
innocuous,manual,,positive,strong,,,adj
innocuous,manual,,positive,strong,,,noun
innovation,manual,,positive,average,,,adj
innovation,manual,,positive,average,,,noun
innovative,manual,,positive,average,,,adj
innumerable,manual,,neutral,average,,,adj
innumerably,manual,,neutral,average,,,other
innumerous,manual,,neutral,average,,,adj
innuendo,manual,,negative,strong,,,adj
innuendo,manual,,negative,strong,,,noun
inoffensive,manual,,positive,strong,,,adj
inopportune,manual,,negative,strong,,,adj
inordinate,manual,,negative,strong,,,adj
inordinately,manual,,negative,strong,,,other
inquisitive,manual,,positive,strong,,,adj
insane,manual,,negative,strong,,,adj
insanely,manual,,negative,strong,,,other
insanity,manual,,negative,strong,,,noun
insatiable,manual,,negative,strong,,,adj
insecure,manual,,negative,average,,,adj
insecurity,manual,,negative,strong,,,adj
insecurity,manual,,negative,strong,,,noun
insensible,manual,,negative,average,,,adj
insensitive,manual,,negative,strong,,,adj
insensitively,manual,,negative,strong,,,other
insensitivity,manual,,negative,strong,,,adj
insensitivity,manual,,negative,strong,,,noun
insidious,manual,,negative,strong,,,adj
insidiously,manual,,negative,strong,,,other
insight,manual,,positive,strong,,,adj
insight,manual,,positive,strong,,,noun
insightful,manual,,positive,strong,,,other
insightfully,manual,,positive,strong,,,other
insights,manual,,neutral,strong,,,other
insignificance,manual,,negative,average,,,noun
insignificant,manual,,negative,average,,,adj
insignificantly,manual,,negative,average,,,other
insincere,manual,,negative,strong,,,adj
insincerely,manual,,negative,strong,,,other
insincerity,manual,,negative,strong,,,noun
insinuate,manual,,negative,strong,,,verb
insinuating,manual,,negative,strong,,,adj
insinuation,manual,,negative,strong,,,adj
insinuation,manual,,negative,strong,,,noun
insist,manual,,positive,strong,,,verb
insistence,manual,,positive,average,,,adj
insistence,manual,,positive,average,,,noun
insistent,manual,,positive,strong,,,adj
insistently,manual,,positive,strong,,,other
insociable,manual,,negative,strong,,,adj
isolation,manual,,negative,average,,,noun
insolence,manual,,negative,strong,,,other
insolence,manual,,negative,strong,,,noun
insolent,manual,,negative,strong,,,adj
insolently,manual,,negative,strong,,,other
insolvent,manual,,negative,average,,,adj
insouciance,manual,,negative,strong,,,noun
inspiration,manual,,positive,strong,,,noun
inspirational,manual,,positive,strong,,,adj
inspire,manual,,positive,strong,,,verb
inspiring,manual,,positive,strong,,,adj
inspiring,manual,,positive,strong,,,other
instability,manual,,negative,average,,,noun
instable,manual,,negative,average,,,adj
instigate,manual,,negative,strong,,,verb
instigator,manual,,negative,strong,,,noun
instigators,manual,,negative,strong,,,noun
instructive,manual,,positive,average,,,adj
instrumental,manual,,positive,average,,,adj
insubordinate,manual,,negative,average,,,adj
insubstantial,manual,,negative,strong,,,adj
insubstantially,manual,,negative,strong,,,other
insufferable,manual,,negative,strong,,,adj
insufferably,manual,,negative,strong,,,other
insufficiency,manual,,negative,average,,,noun
insufficient,manual,,negative,average,,,adj
insufficiently,manual,,negative,average,,,other
insular,manual,,negative,average,,,adj
insult,manual,,negative,strong,,,noun
insult,manual,,negative,strong,,,verb
insulted,manual,,negative,strong,,,adj
insulting,manual,,negative,strong,,,adj
insulting,manual,,negative,strong,,,other
insultingly,manual,,negative,strong,,,other
insupportable,manual,,negative,strong,,,adj
insupportably,manual,,negative,strong,,,other
insurmountable,manual,,negative,average,,,adj
insurmountably,manual,,negative,average,,,other
insurrection,manual,,negative,average,,,adj
insurrection,manual,,negative,average,,,noun
intact,manual,,positive,average,,,adj
integral,manual,,positive,average,,,adj
integrity,manual,,positive,strong,,,noun
intelligent,manual,,positive,strong,,,adj
intelligence,manual,,positive,average,,,noun
intelligible,manual,,positive,strong,,,adj
intend,manual,,neutral,average,,,verb
intense,manual,,neutral,average,,,adj
intense,manual,,neutral,average,,,noun
intensive,manual,,neutral,average,,,adj
intensively,manual,,neutral,average,,,other
intent,manual,,neutral,average,,,adj
intent,manual,,neutral,average,,,noun
intention,manual,,neutral,average,,,adj
intention,manual,,neutral,average,,,noun
intentions,manual,,neutral,average,,,adj
intentions,manual,,neutral,average,,,noun
intents,manual,,neutral,average,,,adj
intents,manual,,neutral,average,,,noun
intercede,manual,,positive,average,,,verb
interest,manual,,positive,average,,,adj
interest,manual,,positive,average,,,noun
interest,manual,,positive,average,,,verb
interested,manual,,positive,average,,,adj
interesting,manual,,positive,strong,,,other
interests,manual,,positive,average,,,adj
interests,manual,,positive,average,,,noun
